Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID,Time_Lag,Negative_Lag,Copied_From_Neighbor,Total_Neighbors,No_Neighbors_Already_Implemented,Neighbor_Adoption_Rate,Neighbors_Already_Implemented,Neighbor_Who_Implemented_First,Adoption_Lag,Copy_Confidence_Score,Region,First_Known_Date,Years_Since_First_Adoption,Time_To_Implementation,Policy_Type,Is_Restaurant_Policy,Is_Worksite_Policy,Is_Ban_Policy,Region_Northeast,Region_South,Region_West,MeasureDesc_Commercial Day Care Centers,MeasureDesc_Government Multi-Unit Housing,MeasureDesc_Government Worksites,MeasureDesc_Home-based Day Care Centers,MeasureDesc_Hotels and Motels,MeasureDesc_Personal Vehicles,MeasureDesc_Private Multi-Unit Housing,MeasureDesc_Private Worksites,MeasureDesc_Restaurants,MeasureDesc_Smokefree Indoor Air – Other Sites
2006,4,AR,Arkansas,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Vehicles,Type of Restriction in Commercial Day Care Vehicle,Banned,4,Ranking,2006-04-10,2006-07-21,"(34.74865012400045, -92.27449074299966)",30GRP,61,102,False,False,6,0,0.0,[],,,0.0,South,2000-07-13,5.7412731006160165,102,Commercial Day Care Centers - Type of Restriction in Commercial Day Care Vehicle,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,NV,Nevada,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-11-07,2006-12-08,"(39.493240390000494, -117.07184056399967)",15GRP,232,31,False,False,5,2,0.4,"['Idaho', 'Utah']",Idaho,4613.0,0.35,West,1975-01-01,31.849418206707735,31,Restaurants - Type of Restriction in Restaurant Employee Area,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,NV,Nevada,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2006-11-07,2006-11-17,"(39.493240390000494, -117.07184056399967)",15GRP,99,10,False,False,5,3,0.6,"['Idaho', 'Utah', 'Arizona']",Idaho,4613.0,0.5249999999999999,West,1973-05-04,33.51129363449692,10,Smokefree Indoor Air – Other Sites - Public Transportation,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,NV,Nevada,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2006-11-07,2006-12-08,"(39.493240390000494, -117.07184056399967)",10GRP,37,31,False,False,5,3,0.6,"['Idaho', 'Utah', 'Arizona']",Idaho,4613.0,0.5249999999999999,West,1975-01-01,31.849418206707735,31,Restaurants - Type of Restriction in Restaurant (Summary),1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,100,30,False,False,4,0,0.0,[],,,0.0,Midwest,1975-05-05,31.509924709103355,30,Smokefree Indoor Air – Other Sites - Hospitals,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,CO,Colorado,Legislation - Smokefree Indoor Air,Government Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",10GRP,115,96,False,False,6,0,0.0,[],,,0.0,West,1990-04-27,15.915126625598905,96,Government Multi-Unit Housing - Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,DC,District of Columbia,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,2006-01-31,2006-04-04,"(38.89037138500049, -77.03196112699965)",15GRP,232,63,False,False,2,1,0.5,['Virginia'],Virginia,5767.0,0.4375,South,1975-01-01,31.082819986310746,63,Restaurants - Type of Restriction in Restaurant Employee Area,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,DC,District of Columbia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2006-01-31,2006-04-03,"(38.89037138500049, -77.03196112699965)",15GRP,100,62,False,False,2,0,0.0,[],,,0.0,South,1975-05-05,30.743326488706366,62,Smokefree Indoor Air – Other Sites - Hospitals,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,NJ,New Jersey,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",15GRP,235,90,False,True,3,2,0.6666666666666666,"['Delaware', 'New York']",Delaware,1325.0,0.5833333333333333,Northeast,1979-01-01,27.039014373716633,90,Bars - Type of Restriction in Bar Patron Area,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,232,30,False,False,4,0,0.0,[],,,0.0,Midwest,1975-01-01,31.849418206707735,30,Restaurants - Type of Restriction in Restaurant Employee Area,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,NV,Nevada,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2006-11-07,2006-11-17,"(39.493240390000494, -117.07184056399967)",10GRP,81,10,False,False,5,3,0.6,"['Idaho', 'Utah', 'Oregon']",Idaho,4613.0,0.5249999999999999,West,1990-01-09,16.826830937713893,10,Hotels and Motels - Type of Restriction in Lobby and Common Area of Hotel and Motel,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2006,4,NV,Nevada,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2006-11-07,2006-12-08,"(39.493240390000494, -117.07184056399967)",15GRP,231,31,False,False,5,3,0.6,"['Idaho', 'Utah', 'California']",Idaho,4613.0,0.5249999999999999,West,1975-01-01,31.849418206707735,31,Restaurants - Type of Restriction in Restaurant Bar Area,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,2,NJ,New Jersey,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",15GRP,232,90,False,True,3,2,0.6666666666666666,"['Delaware', 'New York']",Delaware,1325.0,0.5833333333333333,Northeast,1975-01-01,31.039014373716633,90,Restaurants - Type of Restriction in Restaurant Employee Area,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,98,30,False,False,4,0,0.0,[],,,0.0,Midwest,1975-06-02,31.433264887063654,30,Smokefree Indoor Air – Other Sites - Enclosed Arenas,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
