Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID
2020,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,235
2016,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",20GRP,83
2010,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,234
2011,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,20
2019,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,99
2017,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,81
2012,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,65
2011,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,234
2024,1,GA,Georgia,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2005-05-09,2005-07-01,"(32.83968109300048, -83.62758034599966)",10GRP,50
2024,1,MI,Michigan,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2009-12-18,2010-05-01,"(44.6613195430005, -84.71439026999968)",15GRP,100
